javascript:alert('hello'); - status: skip
http://testingcourse.ru/links/page.html - status: 404
http://testingcourse.ru/links/page12.html - status: 404
http://testingcourse.ru/links/page13.html - status: 404
http://testingcourse.ru/links/image.jpg - status: 404
http://testingcourse.ru/links/page11.html - status: 404
http://testingcourse.ru/links/trololo - status: 404
http://testingcourse.ru/links/page20.html - status: 404
http://testingcourse.ru/links/page15.html - status: 404
http://testingcourse.ru/links/page16.html - status: 404
http://testingcourse.ru/links/page17.html - status: 404
